INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2026.09.24,감자,15200,감자,0,특,20,20kg상자,30000,31000,30918,0,"30,918(100%)","32,619(94.8%)","44,126(70.1%)"
2026.09.24,감자,15200,감자,1,상,20,20kg상자,27000,30000,28593,0,"28,593(100%)","29,402(97.2%)","36,871(77.5%)"
2026.09.24,감자,15200,감자,2,보통,20,20kg상자,21500,27000,25341,0,"25,341(100%)","25,403(99.8%)","25,389(99.8%)"
2026.09.24,감자,15200,감자,3,하,20,20kg상자,3000,21500,14094,0,"14,094(100%)","14,957(94.2%)","10,328(136.5%)"
