INVEST_DT,RPTV_ITM_NM,ITM_CD,ITM_NM,GRADE_CD,G_NAME,UNIT_QTY,UNIT,MI_P,MA_P,AV_P,FLT_P,PAV_RATE,J_7_RATE,J_365_RATE
2020.02.06,감자,15200,감자,2,보통,20,20kg상자,8000,16000,11692,-2479,"14,171(82.5%)","12,879(90.8%)",0
2020.02.06,감자,15200,감자,3,하,20,20kg상자,500,8000,4805,-1147,"5,952(80.7%)","4,841(99.3%)",0
2020.02.07,감자,15200,감자,0,특,20,20kg상자,59000,62000,61206,-4925,"66,131(92.6%)","60,521(101.1%)",0
2020.02.07,감자,15200,감자,1,상,20,20kg상자,38000,59000,48965,16027,"32,938(148.7%)","27,807(176.1%)",0
2020.02.07,감자,15200,감자,2,보통,20,20kg상자,9000,38000,17660,5968,"11,692(151%)","12,790(138.1%)",0
2020.02.07,감자,15200,감자,3,하,20,20kg상자,1000,9000,5774,969,"4,805(120.2%)","4,913(117.5%)",0
2020.02.08,감자,15200,감자,0,특,20,20kg상자,53000,58000,53970,-7236,"61,206(88.2%)","61,764(87.4%)","57,314(94.2%)"
2020.02.08,감자,15200,감자,1,상,20,20kg상자,21000,53000,33870,-15095,"48,965(69.2%)","31,770(106.6%)","45,497(74.4%)"
2020.02.08,감자,15200,감자,2,보통,20,20kg상자,8000,21000,15428,-2232,"17,660(87.4%)","13,814(111.7%)","27,527(56%)"
2020.02.08,감자,15200,감자,3,하,20,20kg상자,1500,8000,4861,-913,"5,774(84.2%)","5,308(91.6%)","14,011(34.7%)"
2020.02.10,감자,15200,감자,0,특,20,20kg상자,55000,58000,56050,2080,"53,970(103.9%)","61,607(91%)","54,180(103.5%)"
2020.02.10,감자,15200,감자,1,상,20,20kg상자,21500,55000,38749,4879,"33,870(114.4%)","33,994(114%)","42,209(91.8%)"
2020.02.10,감자,15200,감자,2,보통,20,20kg상자,13000,21500,17664,2236,"15,428(114.5%)","15,014(117.7%)","28,121(62.8%)"
2020.02.10,감자,15200,감자,3,하,20,20kg상자,2000,13000,7818,2957,"4,861(160.8%)","5,699(137.2%)","13,867(56.4%)"
2020.02.11,감자,15200,감자,0,특,20,20kg상자,52000,56000,53960,-2090,"56,050(96.3%)","61,009(88.4%)","58,112(92.9%)"
2020.02.11,감자,15200,감자,1,상,20,20kg상자,17500,52000,29517,-9232,"38,749(76.2%)","35,133(84%)","43,995(67.1%)"
2020.02.11,감자,15200,감자,2,보통,20,20kg상자,8500,17500,13471,-4193,"17,664(76.3%)","15,025(89.7%)","25,704(52.4%)"
2020.02.11,감자,15200,감자,3,하,20,20kg상자,1000,8500,5369,-2449,"7,818(68.7%)","5,847(91.8%)","13,657(39.3%)"
2020.02.12,감자,15200,감자,0,특,20,20kg상자,52500,57000,54032,72,"53,960(100.1%)","59,551(90.7%)","54,687(98.8%)"
2020.02.12,감자,15200,감자,1,상,20,20kg상자,17500,52500,27579,-1938,"29,517(93.4%)","35,515(77.7%)","44,513(62%)"
2020.02.12,감자,15200,감자,2,보통,20,20kg상자,10000,17500,13774,303,"13,471(102.2%)","15,014(91.7%)","26,963(51.1%)"
2020.02.12,감자,15200,감자,3,하,20,20kg상자,1000,10000,5683,314,"5,369(105.8%)","5,763(98.6%)","12,496(45.5%)"
2020.02.13,감자,15200,감자,0,특,20,20kg상자,54000,60500,55792,1760,"54,032(103.3%)","57,558(96.9%)","57,242(97.5%)"
2020.02.13,감자,15200,감자,1,상,20,20kg상자,18000,54000,32736,5157,"27,579(118.7%)","35,270(92.8%)","46,167(70.9%)"
2020.02.13,감자,15200,감자,2,보통,20,20kg상자,10500,18000,14379,605,"13,774(104.4%)","14,948(96.2%)","27,603(52.1%)"
2020.02.13,감자,15200,감자,3,하,20,20kg상자,1000,10500,5513,-170,"5,683(97%)","5,718(96.4%)","14,144(39%)"
2020.02.14,감자,15200,감자,0,특,20,20kg상자,53500,61000,57043,1251,"55,792(102.2%)","55,835(102.2%)","54,176(105.3%)"
2020.02.14,감자,15200,감자,1,상,20,20kg상자,17000,53000,30361,-2375,"32,736(92.7%)","35,236(86.2%)","44,785(67.8%)"
2020.02.14,감자,15200,감자,2,보통,20,20kg상자,9000,17000,13217,-1162,"14,379(91.9%)","15,396(85.8%)","27,248(48.5%)"
2020.02.14,감자,15200,감자,3,하,20,20kg상자,500,9000,4817,-696,"5,513(87.4%)","5,836(82.5%)","13,304(36.2%)"
2020.02.15,감자,15200,감자,0,특,20,20kg상자,53000,58000,55380,-1663,"57,043(97.1%)","55,141(100.4%)","56,671(97.7%)"
2020.02.15,감자,15200,감자,1,상,20,20kg상자,17000,53000,34341,3980,"30,361(113.1%)","32,135(106.9%)","45,785(75%)"
2020.02.15,감자,15200,감자,2,보통,20,20kg상자,10000,17000,13603,386,"13,217(102.9%)","14,656(92.8%)","27,492(49.5%)"
2020.02.15,감자,15200,감자,3,하,20,20kg상자,1000,10000,5227,410,"4,817(108.5%)","5,677(92.1%)","13,780(37.9%)"
2020.02.17,감자,15200,감자,0,특,20,20kg상자,54000,58000,55802,422,"55,380(100.8%)","55,376(100.8%)","55,237(101%)"
2020.02.17,감자,15200,감자,1,상,20,20kg상자,20000,54000,37072,2731,"34,341(108%)","32,214(115.1%)","43,856(84.5%)"
2020.02.17,감자,15200,감자,2,보통,20,20kg상자,11000,20000,15513,1910,"13,603(114%)","14,351(108.1%)","25,519(60.8%)"
2020.02.17,감자,15200,감자,3,하,20,20kg상자,1000,11000,6897,1670,"5,227(131.9%)","5,738(120.2%)","10,518(65.6%)"
2020.02.18,감자,15200,감자,0,특,20,20kg상자,53500,58000,55382,-420,"55,802(99.2%)","55,335(100.1%)","53,415(103.7%)"
2020.02.18,감자,15200,감자,1,상,20,20kg상자,18000,53500,33366,-3706,"37,072(90%)","31,934(104.5%)","43,778(76.2%)"
2020.02.18,감자,15200,감자,2,보통,20,20kg상자,9000,18000,13440,-2073,"15,513(86.6%)","13,993(96%)","26,616(50.5%)"
2020.02.18,감자,15200,감자,3,하,20,20kg상자,1000,9000,5103,-1794,"6,897(74%)","5,584(91.4%)","13,702(37.2%)"
2020.02.19,감자,15200,감자,0,특,20,20kg상자,54000,58000,55856,474,"55,382(100.9%)","55,572(100.5%)","52,915(105.6%)"
2020.02.19,감자,15200,감자,1,상,20,20kg상자,18000,54000,31024,-2342,"33,366(93%)","32,576(95.2%)","36,878(84.1%)"
2020.02.19,감자,15200,감자,2,보통,20,20kg상자,11000,18000,13997,557,"13,440(104.1%)","13,988(100.1%)","23,061(60.7%)"
2020.02.19,감자,15200,감자,3,하,20,20kg상자,1000,11000,6804,1701,"5,103(133.3%)","5,540(122.8%)","11,513(59.1%)"
2020.02.20,감자,15200,감자,0,특,20,20kg상자,56000,60000,56936,1080,"55,856(101.9%)","55,876(101.9%)","53,754(105.9%)"
2020.02.20,감자,15200,감자,1,상,20,20kg상자,15500,56000,28310,-2714,"31,024(91.3%)","33,150(85.4%)","34,943(81%)"
2020.02.20,감자,15200,감자,2,보통,20,20kg상자,9000,15500,11751,-2246,"13,997(84%)","14,025(83.8%)","21,790(53.9%)"
2020.02.20,감자,15200,감자,3,하,20,20kg상자,500,9000,5539,-1265,"6,804(81.4%)","5,727(96.7%)","10,554(52.5%)"
2020.02.21,감자,15200,감자,0,특,20,20kg상자,55500,60000,57317,381,"56,936(100.7%)","56,067(102.2%)","54,504(105.2%)"
2020.02.21,감자,15200,감자,1,상,20,20kg상자,14500,55500,31305,2995,"28,310(110.6%)","32,412(96.6%)","41,004(76.3%)"
2020.02.21,감자,15200,감자,2,보통,20,20kg상자,8500,14500,11212,-539,"11,751(95.4%)","13,587(82.5%)","22,062(50.8%)"
2020.02.21,감자,15200,감자,3,하,20,20kg상자,500,8500,4972,-567,"5,539(89.8%)","5,731(86.8%)","10,956(45.4%)"
2020.02.22,감자,15200,감자,0,특,20,20kg상자,56500,57000,56859,-458,"57,317(99.2%)","56,112(101.3%)","54,377(104.6%)"
2020.02.22,감자,15200,감자,1,상,20,20kg상자,16000,56500,39147,7842,"31,305(125.1%)","32,570(120.2%)","44,575(87.8%)"
2020.02.22,감자,15200,감자,2,보통,20,20kg상자,8000,16000,11338,126,"11,212(101.1%)","13,253(85.6%)","23,208(48.9%)"
2020.02.22,감자,15200,감자,3,하,20,20kg상자,500,8000,4344,-628,"4,972(87.4%)","5,757(75.5%)","10,587(41%)"
2020.02.24,감자,15200,감자,0,특,20,20kg상자,59000,63000,60092,3233,"56,859(105.7%)","56,359(106.6%)","52,275(115%)"
2020.02.24,감자,15200,감자,1,상,20,20kg상자,17000,59000,37494,-1653,"39,147(95.8%)","33,371(112.4%)","43,336(86.5%)"
2020.02.24,감자,15200,감자,2,보통,20,20kg상자,9000,17000,12884,1546,"11,338(113.6%)","12,875(100.1%)","20,649(62.4%)"
2020.02.24,감자,15200,감자,3,하,20,20kg상자,500,9000,5432,1088,"4,344(125%)","5,610(96.8%)","8,688(62.5%)"
2020.02.25,감자,15200,감자,0,특,20,20kg상자,62500,64000,63136,3044,"60,092(105.1%)","57,074(110.6%)","52,128(121.1%)"
2020.02.25,감자,15200,감자,1,상,20,20kg상자,20000,62500,45616,8122,"37,494(121.7%)","33,441(136.4%)","38,714(117.8%)"
2020.02.25,감자,15200,감자,2,보통,20,20kg상자,12000,20000,15587,2703,"12,884(121%)","12,437(125.3%)","17,475(89.2%)"
2020.02.25,감자,15200,감자,3,하,20,20kg상자,1000,12000,7620,2188,"5,432(140.3%)","5,366(142%)","8,402(90.7%)"
